subj_nr	age	age_en	monoling	sex	hand	correct
1	33	0	1	f	r	0.900000
2	23	0	0	f	r	0.900000
3	26	0	1	f	r	0.818182
4	19	0	0	m	r	0.909091
5	24	0	0	f	r	0.836364
6	20	0	0	f	r	0.763636
7	26	0	1	m	r	0.945455
8	35	0	1	m	r	0.909091
9	34	0	1	f	r	0.947368
10	24	0	1	f	r	0.963636
11	46	0	0	f	r	0.936364
12	24	0	1	f	r	0.927273
13	29	0	0	f	r	0.963636
14	30	0	1	f	l	0.900000
15	31	0	1	m	r	0.954545
16	21	0	0	f	r	0.945455
17	25	0	1	m	r	0.894737
18	22	0	0	m	r	0.954545
19	38	0	0	f	r	0.918182
20	30	0	0	f	r	0.927273
21	56	0	1	f	r	0.927273
22	25	3	0	m	r	0.890909
23	21	0	1	m	r	0.918182
24	27	4	0	m	r	0.972727
25	24	0	1	f	r	0.854545
26	21	4	0	f	r	0.745455
27	20	10	0	f	r	0.872727
28	20	0	1	f	r	0.836364
29	23	0	0	f	r	0.800000
30	28	0	1	f	r	0.827273
31	17	0	1	f	r	0.872727
32	24	0	0	f	l	0.800000
33	24	0	1	f	r	0.854545
34	24	3	0	m	r	0.818182
35	18	0	1	m	l	0.772727
36	25	3	0	m	r	0.900000
37	23	0	0	m	r	0.918182
38	21	0	0	f	r	0.800000
39	19	0	1	m	r	0.890909
40	23	0	1	m	l	0.845455
41	18	0	0	m	r	0.945455
42	20	0	0	f	r	0.945455
43	29	0	1	f	r	0.872727
